Domain	Status	Genome ID	Genome Name	
Bacteria	Permanent Draft	2519899724	Salmonella enterica enterica sv. Enteritidis 639672-50	
Bacteria	Permanent Draft	2519899725	Salmonella enterica enterica sv. Enteritidis 629164-26	
Bacteria	Permanent Draft	2519899742	Escherichia coli O104:H4 C227-11	
Bacteria	Finished	2519899780	Escherichia coli O104:H4 2009EL-2071	
Bacteria	Permanent Draft	2521172733	Escherichia coli DEC15D	
Bacteria	Permanent Draft	2521172734	Escherichia coli DEC15C	
Bacteria	Finished	2522572021	Escherichia coli O145:H28 RM13514	
Bacteria	Permanent Draft	2522572164	Escherichia coli O104:H4 Ec11-9941	
Bacteria	Permanent Draft	2523533515	Escherichia coli O104:H4 Ec11-4988	
Bacteria	Permanent Draft	2523533516	Escherichia coli O104:H4 Ec11-5603	
Bacteria	Permanent Draft	2524614709	Butyrivibrio fibrisolvens WTE3004	
Bacteria	Permanent Draft	2524614716	Butyrivibrio sp. VCB2001	
Bacteria	Permanent Draft	2524614717	Lachnobacterium bovis NK4B19	
Bacteria	Permanent Draft	2524614758	Actinotignum urinale DSM 15805	
Bacteria	Permanent Draft	2524614766	Leptotrichia hofstadii DSM 21651	
Bacteria	Permanent Draft	2524614838	Lachnoclostridium indolis DSM 755	
Bacteria	Permanent Draft	2526164523	Bifidobacterium sp. AGR2158	
Bacteria	Permanent Draft	2526164601	Escherichia coli DEC9E	
Bacteria	Permanent Draft	2526164653	Escherichia coli 11-02033-1	
Bacteria	Permanent Draft	2526164668	Escherichia coli DEC11A	
Bacteria	Permanent Draft	2529292715	Shigella flexneri VA-6	
Bacteria	Permanent Draft	2529292741	Klebsiella pneumoniae pneumoniae JC2877	
Bacteria	Permanent Draft	2529292764	Klebsiella pneumoniae pneumoniae KPNIH16	
Bacteria	Permanent Draft	2529292829	Escherichia coli 2785200	
Bacteria	Permanent Draft	2529292891	Veillonella atypica KON, ATCC 17744	
Bacteria	Permanent Draft	2529292922	Escherichia coli DEC1C	
Bacteria	Finished	2529292938	Salmonella enterica enterica sv. Pomona ATCC 10729 GCA_000240905	
Bacteria	Permanent Draft	2529292985	Shigella dysenteriae CDC 74-1112	
Bacteria	Permanent Draft	2529292995	Escherichia coli O104:H4 E112/10	
Bacteria	Permanent Draft	2529292996	Escherichia coli AI27	
Bacteria	Permanent Draft	2529292998	Escherichia coli O127:B8 C43/90	
Bacteria	Permanent Draft	2529292999	Escherichia coli O111:B4 C48/93	
Bacteria	Permanent Draft	2529293043	Escherichia coli DEC3B	
Bacteria	Permanent Draft	2529293048	Escherichia coli O104:H4 11-4404	
Bacteria	Permanent Draft	2529293060	Escherichia coli P0304777.1	
Bacteria	Permanent Draft	2529293061	Escherichia coli P0302308.14	
Bacteria	Permanent Draft	2529293071	Escherichia coli TT12B	
Bacteria	Permanent Draft	2529293150	Escherichia coli P0304816.7	
Bacteria	Permanent Draft	2529293170	Escherichia coli 5412	
Bacteria	Permanent Draft	2529293214	Escherichia coli FRIK523	
Bacteria	Permanent Draft	2529293215	Escherichia coli FRIK2001	
Bacteria	Permanent Draft	2529293266	Bacteroides sp. HPS0048	
Bacteria	Permanent Draft	2531839010	Lachnoclostridium bolteae 90B3	
Bacteria	Permanent Draft	2531839014	Lachnoclostridium clostridioforme 90A1	
Bacteria	Permanent Draft	2531839027	Escherichia coli EC1869	
Bacteria	Permanent Draft	2531839030	Escherichia coli EC1870	
Bacteria	Permanent Draft	2531839031	Escherichia coli EC4203	
Bacteria	Permanent Draft	2531839101	Escherichia coli 96.0107	
Bacteria	Permanent Draft	2531839131	Escherichia coli P0299917.2	
Bacteria	Permanent Draft	2531839149	Escherichia coli MP021552.12	
Bacteria	Permanent Draft	2531839232	Escherichia coli 99.1781	
Bacteria	Permanent Draft	2531839304	Bacteroides fragilis CL03T12C07	
Bacteria	Permanent Draft	2531839336	Escherichia coli P0305260.11	
Bacteria	Permanent Draft	2531839374	Shigella flexneri 1485-80	
Bacteria	Permanent Draft	2531839380	Salmonella enterica enterica sv. Newport CVM 35188	
Bacteria	Permanent Draft	2531839382	Salmonella enterica enterica sv. Newport CVM 21539	
Bacteria	Permanent Draft	2531839383	Salmonella enterica enterica sv. Newport CVM 33953	
Bacteria	Finished	2531839384	Salmonella enterica enterica sv. Newport CVM 21550 GCA_000272715	
Bacteria	Permanent Draft	2531839436	Escherichia coli MP021017.5	
Bacteria	Permanent Draft	2531839439	Escherichia coli MP021017.4	
Bacteria	Permanent Draft	2531839446	Escherichia coli RN587/1	
Bacteria	Permanent Draft	2531839450	Escherichia coli 1357	
Bacteria	Permanent Draft	2531839468	Escherichia coli 3030-1	
Bacteria	Permanent Draft	2531839498	Gardnerella vaginalis 315-A	
Bacteria	Permanent Draft	2531839585	Escherichia coli p0305293.13	
Bacteria	Permanent Draft	2531839618	Enterococcus faecium P1986	
Bacteria	Permanent Draft	2531839622	Escherichia coli PA10	
Bacteria	Permanent Draft	2531839628	Salmonella enterica enterica sv. Montevideo 2009083312	
Bacteria	Permanent Draft	2534681628	Escherichia coli P0299917.6	
Bacteria	Permanent Draft	2534681653	Escherichia coli PA24	
Bacteria	Permanent Draft	2534681664	Escherichia coli 2864350	
Bacteria	Permanent Draft	2534681709	Escherichia coli KTE157	
Bacteria	Permanent Draft	2534681714	Anaerostipes hadrus comb. nov. VPI 82-52, DSM 3319	
Bacteria	Permanent Draft	2534681832	Escherichia coli DEC8A	
Bacteria	Permanent Draft	2534681896	Klebsiella quasipneumoniae 700603	
Bacteria	Permanent Draft	2534681897	Escherichia coli KTE95	
Bacteria	Permanent Draft	2534681980	Enterococcus faecium E4453	
Bacteria	Permanent Draft	2534681993	Escherichia coli O26:H11 CVM9942	
Bacteria	Permanent Draft	2534682108	Escherichia coli 3006	
Bacteria	Permanent Draft	2534682160	Escherichia coli STEC_94C	
