Domain	Status	Genome ID	Genome Name	
Bacteria	Permanent Draft	2551306454	Klebsiella pneumoniae pneumoniae Ecl8	
Bacteria	Permanent Draft	2551306530	Klebsiella pneumoniae pneumoniae ST258-490	
Bacteria	Permanent Draft	2554235099	Salmonella enterica enterica sv. Tennessee CDC07-0191	
Bacteria	Permanent Draft	2554235142	Salmonella enterica enterica sv. Bareilly 07-0873	
Bacteria	Finished	2554235325	Salmonella enterica enterica sv. Newport USMARC-S3124.1	
Bacteria	Permanent Draft	2558860436	Salmonella enterica enterica sv. Typhimurium 36618	
Bacteria	Permanent Draft	2558860437	Salmonella enterica enterica sv. Berta ATCC 8392	
Bacteria	Permanent Draft	2558860448	Salmonella enterica enterica sv. Agona 432613	
Bacteria	Permanent Draft	2558860453	Salmonella enterica enterica sv. Agona 409753-6	
Bacteria	Permanent Draft	2558860455	Salmonella enterica enterica sv. Agona 557928	
Bacteria	Permanent Draft	2558860460	Salmonella enterica enterica sv. Agona 460004 1-1	
Bacteria	Permanent Draft	2558860468	Salmonella enterica enterica sv. Agona 419639 2-1	
Bacteria	Finished	2561511244	Klebsiella pneumoniae rhinoscleromatis SB3432	
Bacteria	Permanent Draft	2562617122	Salmonella enterica enterica sv. Typhimurium STm8	
Bacteria	Permanent Draft	2563366764	Klebsiella pneumoniae 1162281	
Bacteria	Permanent Draft	2563367008	Salmonella enterica indica sv. 6,14,25:z10:1,(2),7 1121	
Bacteria	Permanent Draft	2563367060	Salmonella enterica enterica sv. Cubana IA8590	
Bacteria	Permanent Draft	2563367148	Klebsiella pneumoniae pneumoniae KpMDU1	
Bacteria	Permanent Draft	2565956773	Salmonella enterica enterica sv. Gaminara ATCC BAA-711	
Bacteria	Permanent Draft	2568526730	Salmonella enterica enterica sv. Muenster CFSAN004344	
Bacteria	Permanent Draft	2571042415	Salmonella enterica enterica sv. Agona SA-1	
Bacteria	Permanent Draft	2571042542	Klebsiella pneumoniae BWH 36	
Bacteria	Permanent Draft	2574180329	Salmonella enterica enterica sv. Muenchen ATCC 8388	
Bacteria	Permanent Draft	2574180406	Salmonella enterica enterica sv. Cerro CFSAN001670	
Bacteria	Permanent Draft	2576861137	Salmonella enterica enterica sv. Typhimurium 95799	
Bacteria	Permanent Draft	2576861249	Salmonella enterica enterica sv. Kentucky 5349	
Bacteria	Permanent Draft	2579778564	Salmonella enterica enterica sv. Muenchen baa1594	
Bacteria	Permanent Draft	2579778581	Salmonella enterica enterica sv. Muenchen baa1674	
Bacteria	Finished	2579778588	Klebsiella oxytoca HKOPL1	
Bacteria	Permanent Draft	2579778642	Salmonella enterica enterica sv. Cerro CFSAN001681	
Bacteria	Permanent Draft	2579778668	Salmonella enterica enterica sv. Newport RI_10P069	
Bacteria	Permanent Draft	2579778717	Salmonella enterica enterica sv. Typhimurium CDC_2009K1283	
Bacteria	Finished	2579778962	Salmonella enterica enterica sv. Typhimurium 138736	
Bacteria	Permanent Draft	2579779018	Salmonella enterica enterica sv. Heidelberg N4496	
Bacteria	Permanent Draft	2579779108	Salmonella enterica enterica sv. Paratyphi B SARA61	
Bacteria	Permanent Draft	2579779146	Salmonella enterica enterica sv. Agona 0292	
Bacteria	Permanent Draft	2582580898	Salmonella enterica enterica sv. Meleagridis 0047	
Bacteria	Permanent Draft	2582580919	Salmonella enterica enterica sv. Newport WA_14881	
Bacteria	Permanent Draft	2582580926	Klebsiella oxytoca H1g	
Bacteria	Finished	2585427624	Klebsiella oxytoca KONIH1	
Bacteria	Permanent Draft	2588253823	Salmonella enterica enterica sv. Heidelberg N18413	
Bacteria	Permanent Draft	2588253825	Salmonella enterica enterica sv. Heidelberg 32507	
Bacteria	Permanent Draft	2588253829	Salmonella enterica enterica sv. Typhimurium LT2-4	
Bacteria	Permanent Draft	2588253908	Salmonella enterica enterica sv. Bareilly CFSAN000226	
Bacteria	Permanent Draft	2588254042	Klebsiella pneumoniae BIDMC 12A	
Bacteria	Permanent Draft	2588254044	Klebsiella pneumoniae BIDMC 1	
Bacteria	Permanent Draft	2588254047	Klebsiella pneumoniae BIDMC 24	
Bacteria	Permanent Draft	2588254052	Klebsiella pneumoniae BWH 28	
Bacteria	Permanent Draft	2588254055	Klebsiella pneumoniae MGH 17	
Bacteria	Permanent Draft	2588254056	Klebsiella pneumoniae MGH 19	
Bacteria	Permanent Draft	2588254057	Klebsiella pneumoniae BWH 22	
Bacteria	Permanent Draft	2588254061	Klebsiella pneumoniae MGH 32	
Bacteria	Permanent Draft	2588254063	Klebsiella pneumoniae MGH 47	
Bacteria	Permanent Draft	2590828687	Klebsiella pneumoniae pneumoniae KPB-1	
Bacteria	Permanent Draft	2590828688	Klebsiella pneumoniae pneumoniae KPB-2	
Bacteria	Permanent Draft	2597489925	Klebsiella pneumoniae 361_1301	
Bacteria	Permanent Draft	2600255165	Salmonella enterica enterica sv. Bareilly CFSAN000198	
Bacteria	Permanent Draft	2600255177	Salmonella enterica enterica sv. Bareilly CFSAN000182	
Bacteria	Permanent Draft	2600255180	Salmonella enterica enterica sv. Bareilly CFSAN000207	
Bacteria	Permanent Draft	2600255185	Salmonella enterica enterica sv. Bareilly CFSAN000236	
Bacteria	Permanent Draft	2600255195	Salmonella enterica enterica sv. Bareilly CFSAN000213	
Bacteria	Permanent Draft	2600255221	Salmonella enterica enterica sv. Bareilly CFSAN000958	
Bacteria	Permanent Draft	2600255301	Klebsiella sp. NFIX33	
Bacteria	Permanent Draft	2602041562	Salmonella enterica enterica sv. Bareilly CFSAN000954	
Bacteria	Permanent Draft	2602042105	Klebsiella sp. NFIX25	
Bacteria	Permanent Draft	2609459876	Klebsiella pneumoniae CHS 71	
Bacteria	Permanent Draft	2609459889	Klebsiella pneumoniae CHS 70	
Bacteria	Permanent Draft	2609459890	Klebsiella pneumoniae BWH 48	
Bacteria	Permanent Draft	2609459909	Klebsiella pneumoniae CHS 31	
Bacteria	Permanent Draft	2609459930	Klebsiella pneumoniae CHS 59	
Bacteria	Permanent Draft	2609459938	Klebsiella pneumoniae BIDMC 55	
Bacteria	Permanent Draft	2609459940	Klebsiella pneumoniae MGH-67	
Bacteria	Permanent Draft	2609459952	Klebsiella pneumoniae CHS 18	
Bacteria	Permanent Draft	2609459968	Klebsiella pneumoniae CHS 41	
Bacteria	Permanent Draft	2609460031	Salmonella enterica enterica sv. Heidelberg SARA37	
Bacteria	Permanent Draft	2609460173	Klebsiella pneumoniae Top52 #1721	
Bacteria	Permanent Draft	2609460174	Klebsiella pneumoniae IA565	
Bacteria	Permanent Draft	2609460178	Klebsiella pneumoniae CHS 29	
Bacteria	Permanent Draft	2609460249	Citrobacter sp. S-77	
Bacteria	Permanent Draft	2617271002	Klebsiella pneumoniae CHS 28	
Bacteria	Permanent Draft	2617271017	Yersinia frederiksenii ATCC 33641	
Bacteria	Permanent Draft	2617271131	Klebsiella pneumoniae pneumoniae BJ1-GA	
Bacteria	Permanent Draft	2617271300	Klebsiella variicola BZ19	
Bacteria	Permanent Draft	2619619076	Salmonella enterica enterica sv. Anatum ATCC BAA-1592	
Bacteria	Permanent Draft	2619619078	Salmonella enterica enterica sv. Abony 0014	
Bacteria	Finished	2627853816	Salmonella enterica enterica sv. Pullorum	
Bacteria	Permanent Draft	2630968312	Salmonella enterica enterica sv. Typhimurium S15	
