Domain	Status	Genome ID	Genome Name	
Bacteria	Finished	637000092	Deinococcus radiodurans ATCC BAA-816	
Bacteria	Finished	637000118	Geobacillus kaustophilus HTA426	
Bacteria	Finished	637000015	Bacillus anthracis Sterne	
Bacteria	Finished	637000019	Alkalihalobacillus clausii KSM-K16	
Bacteria	Finished	637000023	Bacillus thuringiensis konkukian sv. H34 97-27	
Bacteria	Finished	637000319	Thermobifida fusca YX	
Bacteria	Permanent Draft	638341015	Bacillus thuringiensis israelensis ATCC 35646	
Bacteria	Finished	639633001	Acidothermus cellulolyticus 11B	
Bacteria	Finished	640069320	Mycobacterium sp. JLS	
Bacteria	Finished	640427130	Chlorobium phaeovibrioides DSM 265	
Bacteria	Finished	640753007	Bacillus pumilus SAFR-032	
Bacteria	Finished	640753039	Parabacteroides distasonis ATCC 8503	
Bacteria	Permanent Draft	640963023	Bacteroides caccae ATCC 43185	
Bacteria	Finished	641522655	Thermoanaerobacter pseudethanolicus 39E, ATCC 33223	
Bacteria	Finished	641522656	Thermoanaerobacter sp. X514	
Bacteria	Finished	642487181	Thermotoga sp. RQ2	
Bacteria	Permanent Draft	642791610	Acetivibrio thermocellus JW20	
Bacteria	Permanent Draft	642791623	Streptomyces sp. Mg1	
Bacteria	Finished	643348530	Coprothermobacter proteolyticus DSM 5265	
Bacteria	Permanent Draft	642979334	Bacteroides eggerthii DSM 20697	
Bacteria	Permanent Draft	642979359	Lachnoclostridium hylemonae DSM 15053	
Bacteria	Finished	643692005	Bacillus anthracis A0248	
Bacteria	Finished	643692020	Deinococcus deserti VCD115	
Bacteria	Permanent Draft	643886088	Bacillus thuringiensis sv. monterrey BGSC 4AJ1	
Bacteria	Permanent Draft	643886094	Bacillus thuringiensis IBL200	
Bacteria	Permanent Draft	643886142	Porphyromonas uenonis 60-3	
Bacteria	Permanent Draft	643886157	Bacillus cereus Rock3-42	
Bacteria	Permanent Draft	643886158	Bacillus cereus Rock3-29	
Bacteria	Permanent Draft	643886159	Bacillus cereus Rock3-28	
Bacteria	Permanent Draft	643886160	Bacillus cereus Rock1-3	
Bacteria	Permanent Draft	643886173	Bacillus pseudomycoides Rock3-17	
Bacteria	Permanent Draft	643886203	Anaerobutyricum hallii DSM 3353	
Bacteria	Permanent Draft	643886206	Clostridium methylpentosum R2, DSM 5476	
Bacteria	Permanent Draft	645058728	Streptomyces griseoflavus Tu4000	
Bacteria	Permanent Draft	645058773	Bacillus anthracis Australia 94	
Bacteria	Permanent Draft	645058824	Streptomyces ghanaensis ATCC 14672	
Bacteria	Finished	646311908	Alkalihalophilus pseudofirmus OF4	
Bacteria	Finished	646311964	Thermotoga naphthophila RKU-10	
Bacteria	Permanent Draft	645951849	Streptomyces sp. SPB78	
Bacteria	Permanent Draft	645951855	Jonquetella anthropi E3_33 E1	
Bacteria	Permanent Draft	646206272	Bacteroides thetaiotaomicron 1_1_6	
Bacteria	Finished	646564586	Truepera radiovictrix RQ-24, DSM 17093	
Bacteria	Permanent Draft	647000215	Bacteroides xylanisolvens SD CC 1b	
Bacteria	Permanent Draft	647533111	Bacteroides sp. 2_1_22	
Bacteria	Permanent Draft	647533235	Streptomyces sp. e14	
Bacteria	Permanent Draft	648861016	Streptomyces pristinaespiralis ATCC 25486	
Bacteria	Finished	649633045	Frankia inefficax EuI1c	
Bacteria	Finished	649633101	Thermaerobacter marianensis 7p75a, DSM 12885	
Bacteria	Finished	650377936	Eubacterium rectale DSM 17629	
Bacteria	Finished	650377969	Ruminococcus sp. 18P13	
Bacteria	Permanent Draft	649989971	Megasphaera micronuciformis F0359	
Bacteria	Permanent Draft	649989987	Prevotella multiformis DSM 16608	
Bacteria	Finished	650716094	Tepidanaerobacter sp. Re1	
Bacteria	Finished	650377937	Eubacterium rectale M104/1	
Bacteria	Finished	2506520015	Sulfobacillus acidophilus NAL, DSM 10332	
Bacteria	Permanent Draft	651324026	Dysgonomonas gadei ATCC BAA-286	
Bacteria	Permanent Draft	651324090	Prevotella pallens ATCC 700821	
Bacteria	Finished	2509276066	Prevotella dentalis ES 2772, DSM 3688	
Bacteria	Finished	2508501108	Thermus thermophilus JL-18	
Bacteria	Finished	2510065086	Mesotoga prima MesG1AG4.2	
Bacteria	Permanent Draft	643886126	Bacillus thuringiensis sv. pondicheriensis BGSC 4BA1	
Bacteria	Finished	2511231064	Bacillus subtilis spizizenii TU-B-10, DSM 15029	
Bacteria	Finished	2511231121	Geobacillus thermoleovorans CCB_US3_UF5	
Bacteria	Permanent Draft	2513237258	Mobilicoccus pelagius NBRC 104925	
Bacteria	Permanent Draft	2513237260	Lachnospiraceae bacterium bacterium oral taxon 082 F0431	
Bacteria	Permanent Draft	2513237263	Prevotella oulorum F0390	
Bacteria	Permanent Draft	2513237275	Hungatella hathewayi WAL-18680	
Bacteria	Permanent Draft	2513237306	Oribacterium asaccharolyticum ACB7	
Bacteria	Permanent Draft	2513237343	Dorea formicigenerans 4_6_53AFAA	
Bacteria	Permanent Draft	2513237349	Dialister succinatiphilus YIT 11850	
Bacteria	Permanent Draft	2513237350	Prevotella maculosa OT 289	
Bacteria	Permanent Draft	2513237390	Paraprevotella clara YIT 11840	
Bacteria	Permanent Draft	2503538037	Bacillus cereus RCH_BC1	
Bacteria	Permanent Draft	2513020025	Bacteroides xylanisolvens NLAE-zl-C29	
Bacteria	Permanent Draft	2513237115	Streptomyces sp. SceaMP-e96	
Bacteria	Permanent Draft	2516143022	Salinispora arenicola CNS-991, DSM 45545	
Bacteria	Permanent Draft	2505679044	Bacillus subtilis J25	
Bacteria	Permanent Draft	2508501036	Bacillus ginsengihumi J57	
Bacteria	Permanent Draft	2515154202	Salinispora pacifica CNT084	
Bacteria	Permanent Draft	2515154105	Streptomyces sp. HmicA12	
Bacteria	Permanent Draft	2503754051	Phocaeicola vulgatus 274-1D4	
Bacteria	Permanent Draft	2515154088	Salinispora arenicola CNT800	
Bacteria	Permanent Draft	2515154097	Streptomyces sp. LaPpAH-165	
Bacteria	Permanent Draft	2506381007	Porphyromonas gingivalis A7A1-28	
Bacteria	Permanent Draft	2515154165	Streptomyces sp. DvalAA-83	
Bacteria	Permanent Draft	2515154135	Salinispora arenicola CNT850	
Bacteria	Permanent Draft	2515154072	Prevotella paludivivens DSM 17968	
Bacteria	Permanent Draft	2508501112	Bordetella petrii J51	
Bacteria	Permanent Draft	2506783043	Caldibacillus debilis GB1	
Bacteria	Permanent Draft	2503538027	Thermoanaerobacter ethanolicus JW 200	
Bacteria	Permanent Draft	2512564013	Brevibacillus sp. BC25	
Bacteria	Permanent Draft	2264265009	Desulfobulbus sp. oral taxon 041 Dsb4	
Bacteria	Permanent Draft	2264867110	Cloacimonetes bacterium SCGC AAA252-I11 (contamination screened)	
Bacteria	Permanent Draft	2264867119	Cloacimonetes bacterium SCGC AAA252-N17 (contamination screened)	
Bacteria	Permanent Draft	2517287023	Salinispora vitiensis DSM 45548	
Bacteria	Permanent Draft	2517287003	Epulopiscium sp. N.t. morphotype B	
Bacteria	Permanent Draft	2517572021	Thermotoga sp. Mc24	
Bacteria	Permanent Draft	2517572083	Thermotoga sp. TBGT1766	
Bacteria	Permanent Draft	2517572137	Salinispora arenicola CNT005	
Bacteria	Permanent Draft	2518285535	Streptomyces sp. CNB091	
Bacteria	Permanent Draft	2518285548	Brevibacillus laterosporus DSM 25	
Bacteria	Permanent Draft	2518285564	Streptomyces sp. CNY243	
Bacteria	Permanent Draft	2518285600	Cloacimonetes bacterium SCGC AAA252-N14 (contamination screened)	
Bacteria	Permanent Draft	2518645603	Porphyromonas gulae DSM 15663	
Bacteria	Permanent Draft	2518645604	Prevotella loescheii 8B, DSM 19665	
Bacteria	Permanent Draft	2518645610	Streptomyces sulphureus DSM 40104	
Bacteria	Permanent Draft	2518645617	Streptomyces sp. AmelKG-E11A	
Bacteria	Permanent Draft	2518645626	Salinispora pacifica CNY330	
Bacteria	Permanent Draft	2519103015	Streptomyces sp. SirexAA-H	
Bacteria	Permanent Draft	2519103122	Bacillus cereus BAG5X1-1	
Bacteria	Permanent Draft	2519103154	Bacillus cereus MSX-D12	
Bacteria	Permanent Draft	2519103161	Leptospira interrogans sv. Pyrogenes 2006006960	
Bacteria	Permanent Draft	2519103192	Salinispora arenicola CNH877	
Bacteria	Permanent Draft	2519103197	Bacteroides ovatus NLAE-zl-H73	
Bacteria	Permanent Draft	2519899689	Megamonas rupellensis DSM 19944	
Bacteria	Permanent Draft	2519899694	Brachyspira innocens ATCC 29796	
Bacteria	Permanent Draft	2519899783	Bacillus cereus HuB2-9	
Bacteria	Permanent Draft	2519899825	Leptospira interrogans UI 12621	
Bacteria	Permanent Draft	2521172655	Salinispora arenicola CNY282	
Bacteria	Finished	2521172701	Bacillus thuringiensis MC28	
Bacteria	Permanent Draft	2522125136	Streptomyces sp. WMMB 714	
Bacteria	Permanent Draft	2522125157	Salinimicrobium terrae DSM 17865	
Bacteria	Permanent Draft	2522572009	Myxococcus xanthus DZ2	
Bacteria	Permanent Draft	2523533529	Sporosarcina ureae DSM 2281	
Bacteria	Permanent Draft	2523533606	Flavobacterium filum DSM 17961	
Bacteria	Permanent Draft	2523533616	Fictibacillus gelatini DSM 15865	
Bacteria	Permanent Draft	2523533627	Prevotella timonensis 4401737, DSM 22865	
Bacteria	Permanent Draft	2524023182	Fictibacillus macauensis ZFHKF-1	
Bacteria	Permanent Draft	2524023211	Clostridium sp. MSTE9	
Bacteria	Permanent Draft	2524023244	Pontibacillus halophilus DSM 19796	
