Domain	Status	Genome ID	Genome Name	
Bacteria	Permanent Draft	2517487022	Sinorhizobium medicae WSM4191	
Bacteria	Permanent Draft	2516653050	Methylopila sp. M107	
Bacteria	Permanent Draft	2516493024	Methylosinus sp. LW4	
Bacteria	Permanent Draft	2517572005	Clostridium sp. ASF356	
Bacteria	Finished	2517572023	Sinorhizobium fredii HH103	
Bacteria	Permanent Draft	2517572143	Bradyrhizobium elkanii USDA 76	
Bacteria	Permanent Draft	2519103024	Escherichia coli HM605	
Bacteria	Permanent Draft	2519103060	Staphylococcus aureus aureus VRS7	
Bacteria	Permanent Draft	2519103082	Brucella abortus bv. 1 NI474	
Bacteria	Permanent Draft	2519899647	Clostridium sporosphaeroides DSM 1294	
Bacteria	Permanent Draft	2519899834	Brucella abortus bv. 1 NI010	
Bacteria	Permanent Draft	2521172559	Agrobacterium sp. 719_389	
Bacteria	Permanent Draft	2521172632	Methylobacterium sp. 285MFTsu5.1	
Bacteria	Permanent Draft	2521172733	Escherichia coli DEC15D	
Bacteria	Permanent Draft	2521172734	Escherichia coli DEC15C	
Bacteria	Permanent Draft	2522125080	Ralstonia pickettii OR214 (unscreened)	
Bacteria	Permanent Draft	2522572179	Marinobacterium litorale DSM 23545	
Bacteria	Permanent Draft	2522572188	Salinarimonas rosea DSM 21201	
Bacteria	Permanent Draft	2523533604	Clostridium tyrobutyricum DSM 2637	
Bacteria	Permanent Draft	2524023209	Rhizobium leucaenae USDA 9039	
Bacteria	Permanent Draft	2524023211	Clostridium sp. MSTE9	
Bacteria	Permanent Draft	2524023228	Bradyrhizobium sp. Th.b2	
Bacteria	Permanent Draft	2524614808	Aneurinibacillus terranovensis DSM 18919	
Bacteria	Permanent Draft	2526164668	Escherichia coli DEC11A	
Bacteria	Finished	2526164701	Staphylococcus aureus ST228/10497	
Bacteria	Finished	2526164720	Listeria monocytogenes sv. 3b SLCC 2540	
Bacteria	Finished	2526164721	Staphylococcus aureus ST228/10388	
